"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.68721504723743e-17,3.04595792508661,0.043,0.005,8.81290173181582e-13,"Transitional B","CD109"
1.02152288444108e-16,2.8177989377437,0.054,0.009,1.92066732732612e-12,"Transitional B","TNFRSF21"
7.14468986987716e-32,2.79614256715857,0.109,0.021,1.3433445893343e-27,"Transitional B","IL7R"
5.83543722416033e-09,2.783944347032,0.037,0.01,0.000109717890688663,"Transitional B","AKAP12"
6.49582906513925e-10,2.67617631528878,0.034,0.006,1.22134578082748e-05,"Transitional B","PLCB1"
1.64367846537366e-07,2.63134570422794,0.029,0.007,0.00309044425059555,"Transitional B","ENSG00000235192"
4.29350400779561e-24,2.61249079823875,0.083,0.016,8.0726462354573e-20,"Transitional B","ENSG00000288531"
4.94654270040344e-18,2.59450705247454,0.063,0.012,9.30048958529854e-14,"Transitional B","ENSG00000257275"
1.22777490427852e-10,2.53077048545732,0.036,0.007,2.30846237502448e-06,"Transitional B","PDE9A"
2.60088837399875e-20,2.47668580078694,0.074,0.023,4.89019032079244e-16,"Transitional B","PTPRK"
7.79519567176094e-16,2.36657561507513,0.067,0.016,1.46565269020449e-11,"Transitional B","PALLD"
3.54614268559234e-46,2.32335806584029,0.185,0.043,6.66745747745071e-42,"Transitional B","MAML3"
2.16138619884089e-14,2.29256554546513,0.061,0.015,4.06383833106064e-10,"Transitional B","ZNF704"
5.54004123301801e-139,2.28096009368394,0.478,0.266,1.04163855263205e-134,"Transitional B","ENSG00000235979"
1.01482097341011e-07,2.21819061264416,0.032,0.008,0.00190806639420569,"Transitional B","FADS1"
1.44151460979159e-08,2.19502196423069,0.039,0.011,0.000271033576933016,"Transitional B","TRIM58"
2.3236722709471e-09,2.09136128559878,0.058,0.022,4.36896860383474e-05,"Transitional B","FSTL4"
4.92890105738461e-41,2.08832693902882,0.2,0.056,9.26731976809454e-37,"Transitional B","ENSG00000224610"
1.82525194443517e-10,2.03799279020288,0.05,0.013,3.431838705927e-06,"Transitional B","NOTCH2NLR"
1.4942578851339e-35,1.9886221054077,0.194,0.067,2.80950367562876e-31,"Transitional B","CDK6"
1.3201446123205e-26,1.96186812552603,0.13,0.035,2.48213590008501e-22,"Transitional B","ENSG00000267568"
3.64285876965085e-65,1.95075829947552,0.308,0.09,6.84930305869754e-61,"Transitional B","IKZF2"
9.87007158160353e-21,1.94732575422439,0.162,0.065,1.8557708587731e-16,"Transitional B","IGLL5"
6.10799457198484e-25,1.89228342356442,0.149,0.05,1.14842513942459e-20,"Transitional B","CD38"
2.83958608132068e-30,1.88507639620395,0.026,0.136,5.33898975009914e-26,"Transitional B","IGHG1"
3.13470108228138e-16,1.85164466196363,0.098,0.036,5.89386497490544e-12,"Transitional B","ARRDC4"
7.75515921888448e-09,1.83490303326983,0.034,0.008,0.000145812503633466,"Transitional B","GNA15"
1.43660801958889e-12,1.79020643132435,0.073,0.023,2.70111039843103e-08,"Transitional B","CD5"
1.14000985820875e-13,1.77768963874517,0.088,0.03,2.14344653540409e-09,"Transitional B","GNG4"
2.24589870467089e-23,1.72559022297608,0.149,0.053,4.2227387445222e-19,"Transitional B","ATP6V1C2"
1.05118519362381e-56,1.69946208692935,0.358,0.145,1.97643840105148e-52,"Transitional B","MCTP2"
6.39762607543368e-08,1.66653218982613,0.04,0.012,0.00120288165470304,"Transitional B","BTBD3"
4.01638476084837e-15,1.64688232464011,0.109,0.054,7.5516066273471e-11,"Transitional B","XAF1"
4.97013015040117e-07,1.64432525975862,0.046,0.017,0.00934483870878427,"Transitional B","CNTNAP2"
1.66451984696576e-10,1.62695187567763,0.069,0.024,3.12963021626501e-06,"Transitional B","ENSG00000270659"
2.18950300324401e-52,1.60241584708124,0.38,0.16,4.11670354669938e-48,"Transitional B","TCL1A"
1.39434109185773e-11,1.59615300156511,0.079,0.034,2.62164012091091e-07,"Transitional B","TTYH3"
1.32573333117413e-07,1.57199406191599,0.081,0.043,0.0024926438092736,"Transitional B","KCNH8"
3.42868334478935e-09,1.49694569509809,0.075,0.045,6.44661042487294e-05,"Transitional B","IFI44L"
1.20373571300518e-09,1.48704133325137,0.075,0.029,2.26326388759235e-05,"Transitional B","NSUN7"
1.97476846304552e-07,1.48286870190734,0.061,0.028,0.00371295966421818,"Transitional B","KLHL14"
4.78039482709822e-23,1.46464925373992,0.164,0.06,8.98809835391008e-19,"Transitional B","IL3RA"
2.00078297017565e-30,1.45866415095663,0.245,0.1,3.76187214052425e-26,"Transitional B","ENSG00000287092"
1.43487216884539e-08,1.45374271649857,0.065,0.025,0.00026978466518631,"Transitional B","RGS9"
1.16510884411093e-07,1.41542095297893,0.071,0.032,0.00219063764869738,"Transitional B","ETS2"
4.09149382525058e-10,1.41239407416219,0.095,0.056,7.69282669023615e-06,"Transitional B","ABCA1"
1.07888908261436e-11,1.40202158912117,0.102,0.043,2.02852725313151e-07,"Transitional B","PITPNM2"
1.15349004499854e-06,1.38915749162361,0.074,0.048,0.0216879198260626,"Transitional B","ADARB2"
2.99578362948104e-14,1.3877086692699,0.122,0.05,5.63267238015026e-10,"Transitional B","ARHGAP32"
4.6170133032962e-10,1.37610426563475,0.088,0.036,8.68090841285751e-06,"Transitional B","PSD3"
6.74505946295117e-14,1.37274187629751,0.1,0.037,1.26820608022408e-09,"Transitional B","CABLES1"
7.04301529737157e-09,1.35593883422644,0.063,0.024,0.00013242277362118,"Transitional B","TCL6"
2.18362384657976e-07,1.34739755715723,0.072,0.032,0.00410564955633927,"Transitional B","IGHV4-31"
8.48031141684764e-08,1.33520128728267,0.091,0.049,0.00159446815259569,"Transitional B","GAB1"
2.10144784844303e-43,1.3351920200436,0.49,0.323,3.95114224464259e-39,"Transitional B","FCRL1"
2.6016046356628e-09,1.33264882193458,0.128,0.071,4.8915370359732e-05,"Transitional B","MZB1"
1.5153069820943e-06,1.3165970718661,0.061,0.027,0.0284908018773371,"Transitional B","AEBP1"
8.86296013729716e-13,1.30512333541645,0.117,0.05,1.66641376501461e-08,"Transitional B","MMP7"
5.60095439424986e-09,1.30432238694347,0.093,0.043,0.000105309144520686,"Transitional B","CEP128"
5.21663796797532e-07,1.2633257821561,0.079,0.039,0.00980832270738719,"Transitional B","LINC01374"
1.0348037219423e-07,1.25722261465567,0.051,0.019,0.00194563795799592,"Transitional B","HLA-DRB6"
3.66027527036055e-10,1.2517076910162,0.048,0.036,6.88204956333191e-06,"Transitional B","METTL7A"
9.87812637551063e-15,1.24639325462344,0.171,0.09,1.85728532112351e-10,"Transitional B","CTNNAL1"
4.42144681445258e-34,1.24171574446313,0.399,0.251,8.31320430053374e-30,"Transitional B","CAMK2D"
3.11029141330003e-09,1.22254171884546,0.114,0.067,5.84796991528672e-05,"Transitional B","PIP5K1B"
9.04619991498431e-22,1.19464109264708,0.289,0.173,1.70086650801535e-17,"Transitional B","PAM"
6.63576662631624e-13,1.18627796885005,0.184,0.107,1.24765684107998e-08,"Transitional B","RNF144B"
6.03182602240677e-07,1.17123364409916,0.078,0.045,0.0113410392873292,"Transitional B","ZBP1"
8.44316600182977e-12,1.16655237300946,0.176,0.101,1.58748407166403e-07,"Transitional B","PCDH9"
1.33920727636367e-35,1.16520302761563,0.438,0.3,2.51797752101898e-31,"Transitional B","NIBAN3"
6.62525884816918e-07,1.16346735944407,0.065,0.029,0.0124568116863277,"Transitional B","ENSG00000286153"
1.85276268070722e-15,1.1342114231168,0.159,0.072,3.48356439226571e-11,"Transitional B","CD9"
1.84519881960412e-07,1.12648831189067,0.103,0.061,0.00346934282061967,"Transitional B","ARMH1"
8.64545814243293e-33,1.12244461062937,0.422,0.277,1.62551903994024e-28,"Transitional B","TNFRSF18"
1.71884754212691e-21,1.12003133706702,0.243,0.178,3.23177714870702e-17,"Transitional B","VAV3"
1.88793517255789e-06,1.09803024498089,0.055,0.024,0.0354969571144335,"Transitional B","DNMBP-AS1"
2.7116062374224e-32,1.09788026203197,0.397,0.268,5.09836204760159e-28,"Transitional B","PAX5"
