"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","direction"
1.05457981579532e-08,-4.86173587560239,0,0.019,0.000198282096965837,"Transitional B","HOMER3","down"
4.44780134617153e-07,-4.34850595480389,0,0.015,0.00836275609107171,"Transitional B","MSC","down"
2.17768746840402e-22,-3.1007137711168,0.016,0.098,4.09448797809324e-18,"Transitional B","TEX9","down"
4.28082494305201e-42,-2.83448867040435,0.021,0.164,8.04880705792639e-38,"Transitional B","HLA-G","down"
2.13981982014104e-28,-2.69386772678552,0.03,0.143,4.02328922582917e-24,"Transitional B","CXCR3","down"
2.59739383832748e-07,-2.64139084725525,0.003,0.027,0.00488361989482333,"Transitional B","TRERF1","down"
1.50473272317935e-11,-2.53394582226971,0.008,0.052,2.82919846612181e-07,"Transitional B","LINC00944","down"
2.89700474866733e-09,-2.4506213220422,0.007,0.043,5.44694832844432e-05,"Transitional B","RTN4R","down"
5.40318201714785e-08,-2.40139423377086,0.002,0.024,0.00101590628286414,"Transitional B","PIK3R6","down"
9.25473195207197e-15,-2.35756751707207,0.008,0.06,1.74007470162857e-10,"Transitional B","CALHM2","down"
1.72081266562471e-38,-2.34052752382866,0.036,0.184,3.23547197390758e-34,"Transitional B","ZBTB32","down"
2.07344654736486e-36,-2.18082612391909,0.049,0.201,3.89849419835541e-32,"Transitional B","COPDA1","down"
2.86862770251207e-14,-2.17251686002231,0.015,0.073,5.3935938062632e-10,"Transitional B","TMEM273","down"
2.19096080935286e-12,-2.16859318665678,0.023,0.082,4.11944451374524e-08,"Transitional B","TNFSF9","down"
3.56633273248196e-11,-2.1633291887678,0.003,0.036,6.70541880361257e-07,"Transitional B","NKG7","down"
2.88604857026698e-12,-2.1413307453659,0.003,0.038,5.42634852181598e-08,"Transitional B","NLGN4Y","down"
1.13562352274816e-09,-2.11973068208564,0.007,0.043,2.13519934747109e-05,"Transitional B","HIC1","down"
1.35048780276429e-10,-2.10087451358293,0.019,0.067,2.53918716675741e-06,"Transitional B","HOPX","down"
2.11090191749846e-26,-2.0882903675331,0.043,0.161,3.9689177852806e-22,"Transitional B","PBX4","down"
2.14031780892559e-28,-2.06491198757456,0.042,0.167,4.02422554434189e-24,"Transitional B","HMOX1","down"
5.63626913126923e-20,-2.00933682029855,0.017,0.093,1.05973132206124e-15,"Transitional B","CD27","down"
4.70786271763948e-07,-1.99870628754368,0.011,0.042,0.00885172348170575,"Transitional B","SMKR1","down"
2.66672376347976e-17,-1.99676040764114,0.025,0.102,5.01397402009465e-13,"Transitional B","SSPN","down"
1.23243683177692e-24,-1.99648060778285,0.031,0.134,2.31722773110696e-20,"Transitional B","ITGAX","down"
2.66106523718297e-07,-1.91868046007987,0.006,0.033,0.00500333485895142,"Transitional B","TRIM47","down"
6.42560615408107e-09,-1.90909652450204,0.031,0.08,0.000120814246909032,"Transitional B","ENSG00000284634","down"
2.39592825645926e-15,-1.85570035635212,0.029,0.102,4.50482430779471e-11,"Transitional B","SHISA8","down"
2.20498896106655e-09,-1.84821987162467,0.007,0.039,4.14582024459733e-05,"Transitional B","ENSG00000290698","down"
7.64496247149607e-10,-1.83499661208766,0.027,0.08,1.43740584389069e-05,"Transitional B","BHLHE41","down"
3.6833919210507e-08,-1.82412654180416,0.011,0.045,0.000692551348995953,"Transitional B","TRPV3","down"
1.66931619383648e-06,-1.78873961927736,0.012,0.042,0.0313864830765134,"Transitional B","MNDA","down"
3.02046426605306e-08,-1.76679076643455,0.007,0.037,0.000567907691303297,"Transitional B","SLC35D2","down"
7.15388919807635e-25,-1.75257300042102,0.025,0.121,1.34507424702232e-20,"Transitional B","CD80","down"
2.56638506662078e-07,-1.73887206946781,0.006,0.031,0.00482531720226039,"Transitional B","TMEM204","down"
1.82460420128463e-06,-1.72405264418061,0.013,0.043,0.0343062081925535,"Transitional B","DAPK2","down"
1.82508864386972e-14,-1.71981316793388,0.024,0.09,3.43153166820385e-10,"Transitional B","TBC1D12","down"
1.46846043750407e-17,-1.69413009602178,0.032,0.11,2.76099931459514e-13,"Transitional B","IGHG2","down"
3.28553181756201e-21,-1.68179023166743,0.043,0.146,6.17745692338009e-17,"Transitional B","TFEC","down"
6.91315554593698e-10,-1.67992417530394,0.018,0.064,1.29981150574707e-05,"Transitional B","LPAR2","down"
3.35618044910794e-39,-1.6446361628496,0.108,0.297,6.31029048041275e-35,"Transitional B","TNFRSF13B","down"
2.81972014999252e-22,-1.6407131825286,0.012,0.081,5.30163782601593e-18,"Transitional B","TESC","down"
3.14182556920665e-07,-1.62525940582434,0.002,0.019,0.00590726043522233,"Transitional B","CDC42EP3-AS1","down"
6.07775204012618e-11,-1.61111382725683,0.083,0.154,1.14273893858452e-06,"Transitional B","CYTOR","down"
5.15477053675707e-07,-1.55044816714208,0.016,0.051,0.00969199956321064,"Transitional B","TBXAS1","down"
1.56684172531693e-78,-1.54299154121826,0.369,0.656,2.94597581194089e-74,"Transitional B","S100A10","down"
9.13061937947921e-20,-1.53453371614667,0.053,0.156,1.71673905572968e-15,"Transitional B","PLEKHG2","down"
1.59433175320341e-06,-1.52120349630444,0.04,0.085,0.0299766256237305,"Transitional B","ARL4D","down"
3.68448252330658e-09,-1.50229427544172,0.013,0.052,6.92756404032103e-05,"Transitional B","COCH","down"
4.66332582988782e-09,-1.489363550427,0.025,0.074,8.76798522535508e-05,"Transitional B","SLC35E4","down"
1.19405243779627e-59,-1.48843922008687,0.168,0.435,2.24505739354454e-55,"Transitional B","SAMSN1","down"
2.96083812749565e-13,-1.46080236248845,0.022,0.08,5.56696784731733e-09,"Transitional B","MCOLN2","down"
2.1595150405001e-28,-1.44628452812088,0.132,0.289,4.06032017914829e-24,"Transitional B","WEE1","down"
2.42012585710076e-06,-1.41748481173415,0.008,0.033,0.0455032063652084,"Transitional B","ENSG00000249738","down"
3.22278011069237e-22,-1.4147568777451,0.1,0.223,6.0594711641238e-18,"Transitional B","HLA-DQA2","down"
5.14399282185451e-11,-1.40872851613065,0.031,0.089,9.67173530365086e-07,"Transitional B","MYO1F","down"
7.8989847002747e-31,-1.40630949432475,0.067,0.211,1.48516710334565e-26,"Transitional B","AIM2","down"
1.6828573283539e-14,-1.38960990299063,0.012,0.055,3.16410834877101e-10,"Transitional B","GSTM1","down"
8.42317340964334e-12,-1.38829276789082,0.206,0.27,1.58372506448114e-07,"Transitional B","DUSP2","down"
1.34545054887654e-07,-1.37522302622948,0.015,0.049,0.00252971612199767,"Transitional B","TBX21","down"
8.12132116989729e-09,-1.36112040995438,0.008,0.036,0.000152697080636409,"Transitional B","TIGD3","down"
1.1930196443453e-09,-1.34145504258848,0.024,0.073,2.24311553529804e-05,"Transitional B","ADAP1","down"
2.2179932300307e-12,-1.30077017253961,0.035,0.1,4.17027087110372e-08,"Transitional B","SERPINB6","down"
9.59533598761789e-10,-1.29335738386825,0.072,0.142,1.80411507239192e-05,"Transitional B","CD86","down"
4.29206596150954e-11,-1.28293715402267,0.036,0.097,8.06994242083023e-07,"Transitional B","SLC25A29","down"
2.79813812734986e-11,-1.27594198959903,0.037,0.1,5.26105930704321e-07,"Transitional B","THEMIS2","down"
6.69482171429727e-10,-1.26909522099949,0.034,0.09,1.25876037872217e-05,"Transitional B","TIMP1","down"
4.00629036196973e-12,-1.25997108656659,0.112,0.195,7.53262713857549e-08,"Transitional B","SOX5","down"
1.59169446171046e-29,-1.25528630066743,0.083,0.232,2.99270392690801e-25,"Transitional B","EEIG1","down"
1.27017303284786e-10,-1.24655404683151,0.06,0.129,2.38817933636055e-06,"Transitional B","IER5L","down"
3.16298572904327e-07,-1.23897845978632,0.024,0.064,0.00594704576774715,"Transitional B","YIF1B","down"
3.98328516326855e-08,-1.23325875365476,0.03,0.077,0.000748937276397753,"Transitional B","NIBAN1","down"
3.0412269234229e-09,-1.23301472415557,0.061,0.125,5.71811486141973e-05,"Transitional B","CD70","down"
4.51589325070657e-22,-1.2211223173342,0.141,0.283,8.49078248997849e-18,"Transitional B","LGMN","down"
3.58845861821179e-07,-1.21739110947293,0.132,0.181,0.00674701989396181,"Transitional B","MT2A","down"
1.65565638884337e-19,-1.18325868593967,0.087,0.204,3.1129651423033e-15,"Transitional B","CAPN2","down"
6.19038857587793e-07,-1.17595710112352,0.021,0.057,0.0116391686003657,"Transitional B","PLEKHG7","down"
5.4709634058693e-10,-1.17023061402273,0.145,0.235,1.02865053957154e-05,"Transitional B","HSPB1","down"
1.12593568499431e-23,-1.15967654835495,0.131,0.279,2.11698427492631e-19,"Transitional B","CDC42EP3","down"
9.89357367713157e-12,-1.15907171217361,0.043,0.111,1.86018972277428e-07,"Transitional B","PLEKHO2","down"
9.28231646293838e-08,-1.151059931744,0.015,0.048,0.00174526114136167,"Transitional B","TGM2","down"
5.1300092833459e-07,-1.1407061439493,0.021,0.058,0.00964544345454696,"Transitional B","LINC01679","down"
3.27450904409579e-14,-1.13764831516562,0.162,0.252,6.1567319047089e-10,"Transitional B","TXNDC5","down"
5.07715890431857e-07,-1.10828220572502,0.036,0.081,0.00954607417189978,"Transitional B","ENSG00000289474","down"
9.96970017002253e-07,-1.10340780871487,0.04,0.086,0.0187450302596764,"Transitional B","KLK1","down"
8.00743978736812e-17,-1.09645833392526,0.165,0.281,1.50555882882095e-12,"Transitional B","CRIP2","down"
1.69554913062902e-19,-1.08393056887423,0.251,0.379,3.18797147540867e-15,"Transitional B","LGALS1","down"
2.54440587771972e-06,-1.08160618361247,0.064,0.113,0.0478399193128861,"Transitional B","ENC1","down"
5.03675724082515e-07,-1.0810038060092,0.027,0.067,0.00947011096419946,"Transitional B","GDPD5","down"
7.74649184400485e-07,-1.07147050829545,0.01,0.034,0.0145649539650979,"Transitional B","BMP8A","down"
1.0997037275519e-15,-1.05360765712144,0.135,0.244,2.06766294854307e-11,"Transitional B","MIR23AHG","down"
1.63025607164472e-11,-1.05263956531248,0.09,0.175,3.06520746590641e-07,"Transitional B","EBI3","down"
1.00342891525502e-70,-1.04524992244281,0.855,0.934,1.88664704646248e-66,"Transitional B","CRIP1","down"
1.40859566992819e-16,-1.04442833524138,0.083,0.188,2.64844157859898e-12,"Transitional B","CCDC167","down"
